counterID,webtrisID,Lat,Long,siteDescription,status,counterType,roadNumber,X,Y,directionBound,element_id,ntis_link,carriagewayType,carriagewayTypeId,aadf_2010,aadf_2011,aadf_2012,aadf_2013,aadf_2014,aadf_2015,aadf_2016,aadf_2017,aadf_2018,aadf_2019,aadf_car_2010,aadf_car_2011,aadf_car_2012,aadf_car_2013,aadf_car_2014,aadf_car_2015,aadf_car_2016,aadf_car_2017,aadf_car_2018,aadf_car_2019,aadf_hgv_2010,aadf_hgv_2011,aadf_hgv_2012,aadf_hgv_2013,aadf_hgv_2014,aadf_hgv_2015,aadf_hgv_2016,aadf_hgv_2017,aadf_hgv_2018,aadf_hgv_2019,pCar_2010,pCar_2011,pCar_2012,pCar_2013,pCar_2014,pCar_2015,pCar_2016,pCar_2017,pCar_2018,pCar_2019,pHGV_2010,pHGV_2011,pHGV_2012,pHGV_2013,pHGV_2014,pHGV_2015,pHGV_2016,pHGV_2017,pHGV_2018,pHGV_2019
A1M/2259B,2,52.5351577963853,-0.320275451712423,MIDAS site at A1M/2259B priority 1 on link 126046101; GPS Ref: 514029;294356; Southbound,Active,MIDAS,A1M,514029,294356,Southbound,A1M/2259B,126046101,mainCarriageway,1,,,46046.0,45341.0,46635.0,49234.0,48790.0,52472.0,53067.0,53019.0,,,35133.0,34187.0,34976.0,36876.0,36494.0,38671.0,38845.0,38756.0,,,10913.0,11154.0,11659.0,12358.0,12296.0,13801.0,14222.0,14263.0,,,76.3,75.4,75.0,74.9,74.8,73.7,73.2,73.1,,,23.7,24.6,25.0,25.1,25.2,26.3,26.8,26.9
M5/7482B,3,52.1756517888158,-2.17513825916014,MIDAS site at M5/7482B priority 1 on link 109001601; GPS Ref: 388120;253057; Northbound,Active,MIDAS,M5,388120,253057,Northbound,M5/7482B,109001601,mainCarriageway,1,44070.0,44105.0,43431.0,44050.0,45671.0,46180.0,47180.0,47804.0,46955.0,38890.0,40588.0,40620.0,40043.0,40966.0,42611.0,43132.0,44066.0,44505.0,43762.0,36517.0,3482.0,3485.0,3388.0,3084.0,3060.0,3048.0,3114.0,3299.0,3193.0,2373.0,92.1,92.1,92.2,93.0,93.3,93.4,93.4,93.1,93.2,93.9,7.9,7.9,7.8,7.0,6.7,6.6,6.6,6.9,6.8,6.1
M3/2173A,4,50.9603586282494,-1.39237366736779,MIDAS site at M3/2173A priority 1 on link 103009101; GPS Ref: 442770;118058; Westbound,Active,MIDAS,M3,442770,118058,Westbound,M3/2173A,103009101,mainCarriageway,1,,,,,1766.0,1784.0,1861.0,1944.0,1929.0,1957.0,,,,,1543.0,1553.0,1646.0,1697.0,1685.0,1712.0,,,,,223.0,231.0,215.0,247.0,244.0,245.0,,,,,87.4,87.1,88.5,87.3,87.4,87.5,,,,,12.6,12.9,11.5,12.7,12.6,12.5
M25/5764B,5,51.5756168053165,0.283161593410359,MIDAS site at M25/5764B priority 1 on link 199056702; GPS Ref: 558308;188775; Anti-clockwise,Active,MIDAS,M25,558308,188775,Anti-clockwise,M25/5764B,199056702,mainCarriageway,1,93464.0,95681.0,94743.0,95651.0,95919.0,95656.0,95078.0,96087.0,97811.0,96573.0,84024.0,86112.0,85173.0,85894.0,85751.0,85420.0,84714.0,85133.0,86953.0,85949.0,9440.0,9569.0,9570.0,9757.0,10168.0,10236.0,10364.0,10954.0,10858.0,10624.0,89.9,90.0,89.9,89.8,89.4,89.3,89.1,88.6,88.9,89.0,10.1,10.0,10.1,10.2,10.6,10.7,10.9,11.4,11.1,11.0
M27/9273A,6,50.8974291626176,-1.31148605150526,MIDAS site at M27/9273A priority 1 on link 103009302; GPS Ref: 448516;111110; Eastbound,Active,MIDAS,M27,448516,111110,Eastbound,M27/9273A,103009302,mainCarriageway,1,51047.0,51441.0,51340.0,41814.0,49710.0,55526.0,57678.0,59595.0,58623.0,56192.0,47116.0,47531.0,47489.0,39221.0,46280.0,51417.0,53525.0,55006.0,54167.0,51921.0,3931.0,3910.0,3851.0,2593.0,3430.0,4109.0,4153.0,4589.0,4456.0,4271.0,92.3,92.4,92.5,93.8,93.1,92.6,92.8,92.3,92.4,92.4,7.7,7.6,7.5,6.2,6.9,7.4,7.2,7.7,7.6,7.6
A1M/9869K,7,54.0819152173294,-1.3988308536688,MIDAS site at A1M/9869K priority 1 on link 118013101; GPS Ref: 439428;465276; Northbound,Active,MIDAS,A1M,439428,465276,Northbound,A1M/9869K,118013101,entrySlipRoad,0,28534.0,28857.0,28201.0,28446.0,29634.0,30724.0,31533.0,31737.0,31534.0,31479.0,22541.0,22825.0,22278.0,22387.0,23233.0,24640.0,25762.0,25580.0,25321.0,25151.0,5993.0,6032.0,5923.0,6059.0,6401.0,6084.0,5771.0,6157.0,6213.0,6328.0,79.0,79.1,79.0,78.7,78.4,80.2,81.7,80.6,80.3,79.9,21.0,20.9,21.0,21.3,21.6,19.8,18.3,19.4,19.7,20.1
M25/4876A,8,51.4337486439773,-0.538795788123459,MIDAS site at M25/4876A priority 1 on link 199132301; GPS Ref: 501669;171540; Clockwise,Active,MIDAS,M25,501669,171540,Clockwise,M25/4876A,199132301,mainCarriageway,1,9688.0,11095.0,11107.0,11414.0,11771.0,11781.0,11939.0,11891.0,12022.0,12043.0,9300.0,10529.0,10551.0,10831.0,11147.0,11156.0,11258.0,11189.0,11288.0,11272.0,388.0,566.0,556.0,583.0,624.0,625.0,681.0,702.0,734.0,771.0,96.0,94.9,95.0,94.9,94.7,94.7,94.3,94.1,93.9,93.6,4.0,5.1,5.0,5.1,5.3,5.3,5.7,5.9,6.1,6.4
M27/9387A,11,50.8626033711616,-1.16685001065065,MIDAS site at M27/9387A priority 1 on link 103010501; GPS Ref: 458731;107342; Eastbound,Active,MIDAS,M27,458731,107342,Eastbound,M27/9387A,103010501,mainCarriageway,1,,,,50930.0,55164.0,57168.0,59690.0,60940.0,61178.0,60621.0,,,,41660.0,45179.0,47049.0,49184.0,49787.0,49737.0,49163.0,,,,9270.0,9985.0,10119.0,10506.0,11153.0,11441.0,11458.0,,,,81.8,81.9,82.3,82.4,81.7,81.3,81.1,,,,18.2,18.1,17.7,17.6,18.3,18.7,18.9
M62/2328B,13,53.7084340056232,-1.28311525912878,MIDAS site at M62/2328B priority 1 on link 200017023; GPS Ref: 447418;423793; Westbound,Active,MIDAS,M62,447418,423793,Westbound,M62/2328B,200017023,mainCarriageway,1,51874.0,52024.0,51337.0,52024.0,52969.0,42251.0,53745.0,53890.0,54279.0,52698.0,46686.0,47081.0,46511.0,47185.0,47831.0,38870.0,48477.0,48285.0,48742.0,47270.0,5188.0,4943.0,4826.0,4839.0,5138.0,3381.0,5268.0,5605.0,5537.0,5428.0,90.0,90.5,90.6,90.7,90.3,92.0,90.2,89.6,89.8,89.7,10.0,9.5,9.4,9.3,9.7,8.0,9.8,10.4,10.2,10.3
A2/8392M,14,51.4084657748977,0.381381297925497,MIDAS site at A2/8392M priority 1 on link 200045660; GPS Ref: 565718;170406; Westbound,Active,MIDAS,A2,565718,170406,Westbound,A2/8392M,200045660,roundabout,0,,31134.0,30346.0,27688.0,35243.0,34691.0,36731.0,38737.0,39066.0,38244.0,,26370.0,25794.0,25528.0,30731.0,30250.0,32102.0,33507.0,33792.0,33157.0,,4764.0,4552.0,2160.0,4512.0,4441.0,4629.0,5230.0,5274.0,5087.0,,84.7,85.0,92.2,87.2,87.2,87.4,86.5,86.5,86.7,,15.3,15.0,7.8,12.8,12.8,12.6,13.5,13.5,13.3
